ProfileID,Age,Gender,Region,EducationLevel,FieldOfStudy,ExperienceYears,YearsSinceGraduation,DigitalSkillLevel,EnglishLevel,CurrentEmploymentStatus,DesiredIndustry,PreferredJobType,TechnicalSkills,SoftSkills,CertificationsCount
50,26,Female,Arusha,Bachelor,Education,4,9,Medium,Intermediate,Unemployed,Construction,Field,"Quality control, Sales, Customer service","Customer focus, Creativity, Time management",3
51,22,Female,Dar es Salaam,Diploma,Hospitality,0,5,Low,Intermediate,Informal work,Construction,Field,"Database management, Customer service, Graphic design, Project management","Problem solving, Communication",1
52,27,Female,Tanga,Vocational/Technical,Information Technology,0,2,Low,Basic,Part-time,Education,Field,"Database management, Inventory management, Food preparation, Project management","Time management, Resilience",3
53,24,Male,Njombe,Higher Diploma,Logistics,3,3,Low,Advanced,Unemployed,Tourism,Remote,"Logistics coordination, Sales, Web development","Time management, Critical thinking, Creativity",0
54,20,Male,Pemba North,No formal qualification,Business,2,2,High,Basic,Informal work,Construction,Office,"Microsoft Office, Programming (Python)","Time management, Resilience",0
55,25,Female,Geita,Diploma,Information Technology,6,8,Medium,Intermediate,Informal work,Manufacturing,Office,"Social media management, Project management, Programming (Python), Database management","Resilience, Customer focus",3
56,25,Male,Ruvuma,Secondary,Arts,0,5,Medium,Basic,Self-employed,Healthcare,Remote,"Graphic design, Data analysis, Programming (Python), Accounting","Teamwork, Adaptability",0
57,24,Male,Kagera,Diploma,Finance,0,0,Low,Basic,Self-employed,Construction,Field,"Data analysis, Microsoft Office","Creativity, Adaptability",1
58,21,Female,Mtwara,Higher Diploma,Agriculture,0,3,Medium,Intermediate,Internship,Transport,Remote,"Inventory management, Customer service, Programming (Python)","Resilience, Communication, Leadership",3
59,18,Male,Songwe,Higher Diploma,Business,0,0,Medium,Basic,Unemployed,ICT,Customer-facing,"Teaching support, Inventory management, English communication","Leadership, Critical thinking, Problem solving",2
60,23,Female,Dodoma,Diploma,Agriculture,1,1,Medium,Basic,Unemployed,Healthcare,Office,"Sales, Accounting, Social media management","Time management, Creativity, Teamwork",2
61,24,Male,Iringa,Higher Diploma,Health,1,5,Medium,Intermediate,Full-time,Banking,Remote,"Database management, Social media management, Programming (Python)","Customer focus, Time management, Creativity",0
62,22,Female,Pemba South,Vocational/Technical,Information Technology,0,0,Low,Intermediate,Internship,ICT,Field,"Logistics coordination, Teaching support, Data analysis","Communication, Teamwork, Time management",2
63,22,Male,Pemba North,Higher Diploma,Logistics,3,5,High,Intermediate,Informal work,Manufacturing,Field,"Social media management, Web development, Accounting","Creativity, Time management",2
64,24,Female,Pwani,Higher Diploma,Finance,0,0,High,Intermediate,Part-time,Healthcare,Office,"Graphic design, Inventory management, Sales","Critical thinking, Problem solving, Time management",2
65,26,Male,Pwani,No formal qualification,Business,0,0,Medium,Basic,Self-employed,Construction,Customer-facing,"Sales, Data analysis, Quality control","Teamwork, Customer focus, Critical thinking",1
66,24,Female,Kagera,Bachelor,Hospitality,0,5,Medium,Intermediate,Part-time,Healthcare,Remote,"Food preparation, Social media management, Network support","Time management, Problem solving, Critical thinking",0
67,19,Male,Pemba North,Vocational/Technical,Information Technology,0,1,High,Intermediate,Full-time,Tourism,Customer-facing,"Accounting, Customer service, Teaching support, Mechanical maintenance","Leadership, Problem solving",1
68,24,Male,Njombe,Vocational/Technical,Health,0,2,High,Basic,Self-employed,Agriculture,Remote,"Quality control, Web development","Customer focus, Creativity, Leadership",0
69,20,Male,Mara,No formal qualification,Hospitality,2,2,High,Intermediate,Self-employed,Banking,Customer-facing,"Digital marketing, Inventory management","Resilience, Leadership, Communication",1
70,19,Female,Morogoro,Secondary,Education,0,0,Medium,Advanced,Informal work,Manufacturing,Field,"Customer service, Web development","Leadership, Customer focus, Teamwork",1
71,24,Male,Manyara,Higher Diploma,Business,0,5,Medium,Intermediate,Part-time,Construction,Field,"Digital marketing, Food preparation, Microsoft Office","Time management, Critical thinking, Teamwork",1
72,19,Female,Kigoma,Vocational/Technical,Arts,0,1,Medium,Advanced,Internship,Transport,Remote,"Social media management, Inventory management, Database management, Data analysis","Time management, Teamwork, Adaptability",1
73,25,Male,Mwanza,Vocational/Technical,Hospitality,0,1,Medium,Advanced,Full-time,ICT,Office,"Mechanical maintenance, Teaching support","Resilience, Communication",1
74,23,Male,Zanzibar Urban/West,Vocational/Technical,Hospitality,3,5,High,Basic,Informal work,Healthcare,Field,"Food preparation, Web development, Teaching support","Critical thinking, Leadership, Customer focus",3
75,24,Male,Zanzibar South,No formal qualification,Health,4,5,Low,Intermediate,Part-time,Manufacturing,Customer-facing,"Mechanical maintenance, Project management","Leadership, Teamwork, Critical thinking",0
76,25,Female,Pemba South,Bachelor,Health,0,0,High,Intermediate,Unemployed,Manufacturing,Customer-facing,"Data analysis, Accounting","Creativity, Teamwork",0
77,22,Female,Dodoma,Diploma,Agriculture,0,3,Low,Basic,Unemployed,Agriculture,Office,"English communication, Customer service","Problem solving, Communication, Adaptability",1
78,22,Male,Pwani,Bachelor,Information Technology,0,3,Medium,Intermediate,Internship,Construction,Office,"Teaching support, Database management","Customer focus, Critical thinking",1
79,26,Female,Rukwa,Secondary,Information Technology,8,8,High,Advanced,Self-employed,Tourism,Customer-facing,"Data analysis, Database management, Digital marketing","Adaptability, Problem solving, Creativity",0
80,24,Female,Pwani,Diploma,Education,2,2,Medium,Intermediate,Full-time,Agriculture,Remote,"Web development, Programming (Python), English communication, Graphic design","Adaptability, Communication",1
81,26,Female,Tabora,Vocational/Technical,Health,2,3,Medium,Intermediate,Informal work,Banking,Customer-facing,"Database management, Social media management","Resilience, Critical thinking, Creativity",3
82,23,Female,Kagera,Vocational/Technical,Health,4,6,High,Basic,Part-time,Tourism,Field,"English communication, Accounting, Sales, Digital marketing","Time management, Customer focus, Resilience",2
83,23,Male,Kilimanjaro,Bachelor,Information Technology,2,2,Low,Basic,Informal work,Trade,Remote,"Network support, Database management, Inventory management, Mechanical maintenance","Teamwork, Resilience",0
84,24,Female,Pwani,Vocational/Technical,Education,0,0,Medium,Advanced,Unemployed,Manufacturing,Field,"Database management, Network support, Accounting, Project management","Problem solving, Communication",2
85,24,Female,Singida,Diploma,Information Technology,3,7,Low,Basic,Informal work,Healthcare,Field,"Microsoft Office, Digital marketing","Teamwork, Resilience, Problem solving",2
86,22,Female,Mwanza,Diploma,Business,4,4,High,Basic,Self-employed,Agriculture,Customer-facing,"Customer service, Sales, Graphic design, Microsoft Office","Resilience, Communication",1
87,27,Male,Katavi,Higher Diploma,Engineering,5,6,Medium,Intermediate,Internship,ICT,Remote,"Accounting, Digital marketing","Resilience, Leadership, Creativity",0
88,27,Male,Ruvuma,Secondary,Hospitality,0,0,Medium,Basic,Self-employed,Education,Customer-facing,"English communication, Digital marketing, Project management, Graphic design","Teamwork, Time management, Problem solving",1
89,25,Female,Manyara,Diploma,Health,4,5,High,Advanced,Self-employed,ICT,Customer-facing,"Graphic design, Food preparation, Social media management, Data analysis","Leadership, Time management, Customer focus",1
90,26,Female,Kilimanjaro,Higher Diploma,Health,0,0,Medium,Intermediate,Unemployed,ICT,Field,"Accounting, Database management, Network support","Creativity, Leadership",1
91,25,Female,Pwani,Higher Diploma,Health,0,0,Low,Advanced,Part-time,Agriculture,Customer-facing,"Accounting, Graphic design, Mechanical maintenance, Quality control","Resilience, Time management, Customer focus",0
92,25,Male,Ruvuma,Bachelor,Business,2,3,High,Basic,Full-time,Healthcare,Customer-facing,"Data analysis, Sales, Social media management, Microsoft Office","Creativity, Critical thinking, Customer focus",0
93,24,Male,Dar es Salaam,Higher Diploma,Engineering,4,7,Low,Intermediate,Full-time,Agriculture,Remote,"Database management, Accounting, Logistics coordination","Teamwork, Adaptability, Critical thinking",1
94,26,Female,Njombe,Diploma,Logistics,7,7,High,Advanced,Self-employed,ICT,Customer-facing,"Network support, English communication","Leadership, Customer focus, Resilience",2
95,20,Male,Kigoma,Bachelor,Logistics,2,2,Low,Intermediate,Full-time,Construction,Field,"Programming (Python), Food preparation, Quality control, Mechanical maintenance","Teamwork, Adaptability, Communication",1
96,26,Male,Mwanza,Secondary,Business,1,6,Medium,Basic,Part-time,ICT,Office,"Programming (Python), Microsoft Office, Inventory management, Graphic design","Resilience, Leadership, Critical thinking",1
97,22,Female,Rukwa,Diploma,Finance,5,5,Medium,Intermediate,Full-time,Education,Field,"Logistics coordination, English communication, Customer service","Time management, Adaptability, Resilience",1
98,25,Female,Pemba South,Vocational/Technical,Business,6,8,Low,Intermediate,Unemployed,Agriculture,Customer-facing,"English communication, Digital marketing","Resilience, Time management, Customer focus",1
99,22,Male,Mtwara,No formal qualification,Health,1,4,High,Intermediate,Full-time,Education,Remote,"Social media management, Accounting","Problem solving, Teamwork, Communication",3
100,22,Female,Pemba North,Secondary,Logistics,1,1,Medium,Intermediate,Informal work,Manufacturing,Field,"Programming (Python), Mechanical maintenance, Social media management, Food preparation","Critical thinking, Resilience",1
101,27,Male,Tanga,Higher Diploma,Information Technology,2,5,Medium,Intermediate,Full-time,Agriculture,Office,"Graphic design, Sales, Accounting","Resilience, Time management",2
102,23,Male,Arusha,Diploma,Finance,1,4,High,Advanced,Informal work,Tourism,Customer-facing,"Network support, Sales","Teamwork, Resilience",1
103,21,Female,Mbeya,Vocational/Technical,Hospitality,1,2,Medium,Intermediate,Unemployed,Banking,Field,"Sales, Web development","Teamwork, Critical thinking, Time management",2
104,25,Male,Dar es Salaam,Vocational/Technical,Business,1,2,High,Intermediate,Full-time,Tourism,Office,"Graphic design, Customer service, Digital marketing, Inventory management","Leadership, Creativity, Problem solving",3
105,25,Female,Ruvuma,Secondary,Logistics,1,2,Low,Intermediate,Full-time,ICT,Office,"Inventory management, Web development","Resilience, Teamwork",1
106,22,Male,Pemba South,Secondary,Health,2,5,Medium,Intermediate,Internship,Education,Remote,"Social media management, Database management","Leadership, Communication",3
107,26,Male,Zanzibar South,Diploma,Logistics,2,6,Low,Intermediate,Informal work,Tourism,Office,"Logistics coordination, Microsoft Office","Problem solving, Teamwork, Critical thinking",1
108,24,Female,Shinyanga,Diploma,Logistics,3,4,Medium,Intermediate,Full-time,Education,Field,"Database management, Microsoft Office, Project management","Problem solving, Communication",2
109,23,Male,Singida,No formal qualification,Business,0,3,High,Basic,Part-time,Transport,Field,"Microsoft Office, Inventory management","Adaptability, Creativity, Leadership",1
110,24,Male,Katavi,Vocational/Technical,Business,2,4,High,Advanced,Informal work,Agriculture,Office,"Quality control, Programming (Python), Database management, Network support","Critical thinking, Customer focus, Teamwork",1
111,18,Male,Dar es Salaam,Vocational/Technical,Finance,0,0,Low,Intermediate,Informal work,Transport,Field,"Customer service, Project management, Graphic design","Problem solving, Resilience, Creativity",0
112,24,Male,Tanga,Vocational/Technical,Health,0,0,High,Intermediate,Internship,Transport,Field,"Graphic design, Accounting, English communication","Adaptability, Customer focus",3
113,27,Female,Pemba South,Diploma,Arts,1,6,Medium,Intermediate,Part-time,Transport,Customer-facing,"Project management, Database management, Inventory management","Resilience, Problem solving, Customer focus",2
114,21,Female,Lindi,Vocational/Technical,Health,0,3,Medium,Basic,Self-employed,Construction,Office,"Microsoft Office, Graphic design, Accounting","Critical thinking, Adaptability",1
115,27,Male,Dodoma,Secondary,Engineering,2,2,Low,Basic,Internship,Healthcare,Field,"Programming (Python), Inventory management, Teaching support, Digital marketing","Communication, Critical thinking",0
116,22,Female,Arusha,Higher Diploma,Business,3,4,Medium,Intermediate,Full-time,ICT,Office,"Quality control, Data analysis, Food preparation, Social media management","Communication, Leadership",2
117,25,Male,Manyara,Diploma,Agriculture,0,2,Low,Intermediate,Unemployed,ICT,Customer-facing,"Project management, Network support, Digital marketing","Critical thinking, Resilience, Adaptability",3
118,19,Female,Lindi,No formal qualification,Logistics,0,2,High,Intermediate,Full-time,Trade,Remote,"Mechanical maintenance, Digital marketing, Quality control, Social media management","Customer focus, Problem solving, Communication",1
119,27,Female,Morogoro,Vocational/Technical,Engineering,0,8,High,Advanced,Self-employed,Education,Field,"Network support, Digital marketing, English communication, Mechanical maintenance","Customer focus, Critical thinking",2
120,21,Female,Dodoma,Diploma,Hospitality,0,0,High,Intermediate,Informal work,Banking,Office,"Data analysis, Project management, Web development","Adaptability, Creativity, Critical thinking",1
121,22,Male,Kagera,Higher Diploma,Education,0,2,Medium,Intermediate,Self-employed,Tourism,Customer-facing,"Sales, Digital marketing, Data analysis","Resilience, Creativity, Time management",0
122,25,Male,Singida,Secondary,Education,8,8,Medium,Basic,Unemployed,Manufacturing,Customer-facing,"Data analysis, English communication, Social media management","Problem solving, Leadership, Adaptability",1
123,24,Female,Mara,Vocational/Technical,Hospitality,0,2,High,Basic,Unemployed,Manufacturing,Customer-facing,"Customer service, Quality control, Graphic design","Problem solving, Teamwork, Time management",0
124,25,Female,Ruvuma,Vocational/Technical,Arts,3,5,Medium,Advanced,Informal work,ICT,Field,"Accounting, Graphic design, Quality control","Teamwork, Critical thinking, Creativity",1
125,22,Female,Kilimanjaro,Diploma,Finance,0,2,Low,Basic,Informal work,Agriculture,Remote,"Web development, Graphic design, Teaching support, English communication","Critical thinking, Resilience",0
126,25,Female,Kagera,No formal qualification,Hospitality,6,6,Medium,Intermediate,Full-time,ICT,Office,"Inventory management, Social media management, Logistics coordination, Programming (Python)","Leadership, Problem solving, Customer focus",2
127,29,Male,Mbeya,Diploma,Logistics,6,6,Medium,Intermediate,Self-employed,Manufacturing,Customer-facing,"Inventory management, Teaching support","Resilience, Creativity",1
128,25,Female,Mara,Secondary,Agriculture,3,4,Low,Basic,Informal work,Agriculture,Customer-facing,"Accounting, Web development, Graphic design","Creativity, Resilience, Problem solving",1
129,21,Female,Morogoro,Higher Diploma,Logistics,2,2,High,Advanced,Informal work,Education,Field,"Mechanical maintenance, Accounting, Logistics coordination, Social media management","Adaptability, Critical thinking, Teamwork",1
130,28,Female,Pwani,Diploma,Information Technology,3,3,Medium,Intermediate,Internship,Education,Customer-facing,"Digital marketing, Food preparation, Sales, Mechanical maintenance","Creativity, Adaptability, Resilience",0
131,20,Female,Mtwara,No formal qualification,Hospitality,1,2,Low,Intermediate,Internship,Construction,Remote,"Microsoft Office, Accounting, Sales, Customer service","Problem solving, Teamwork, Creativity",2
132,21,Female,Iringa,Higher Diploma,Arts,3,3,High,Intermediate,Full-time,Agriculture,Field,"English communication, Microsoft Office, Mechanical maintenance","Resilience, Communication, Creativity",3
133,26,Female,Kagera,Secondary,Health,6,7,Medium,Intermediate,Informal work,Healthcare,Field,"Food preparation, Data analysis","Time management, Communication",1
134,18,Male,Mwanza,No formal qualification,Finance,0,1,Medium,Basic,Full-time,Banking,Remote,"Web development, Logistics coordination, Graphic design, Social media management","Adaptability, Time management",2
135,20,Female,Shinyanga,Secondary,Business,0,0,High,Intermediate,Full-time,ICT,Office,"Teaching support, Microsoft Office","Adaptability, Communication",1
136,27,Male,Katavi,Higher Diploma,Education,2,4,Medium,Advanced,Part-time,Manufacturing,Field,"Programming (Python), Project management, Microsoft Office","Adaptability, Teamwork",2
137,19,Female,Simiyu,Vocational/Technical,Information Technology,1,1,Medium,Intermediate,Informal work,Manufacturing,Office,"Project management, Database management, Web development, Quality control","Customer focus, Communication, Problem solving",2
138,23,Male,Dar es Salaam,Bachelor,Agriculture,4,6,Medium,Advanced,Informal work,Healthcare,Customer-facing,"English communication, Accounting, Logistics coordination","Customer focus, Resilience",2
139,19,Male,Dar es Salaam,Higher Diploma,Education,0,0,Medium,Advanced,Part-time,Agriculture,Customer-facing,"Project management, Digital marketing","Time management, Problem solving, Creativity",2
140,19,Female,Arusha,No formal qualification,Logistics,2,2,Low,Intermediate,Self-employed,Manufacturing,Remote,"Quality control, Digital marketing","Customer focus, Adaptability",1
141,21,Male,Shinyanga,Bachelor,Engineering,1,3,Medium,Basic,Self-employed,Manufacturing,Remote,"Database management, English communication, Microsoft Office","Teamwork, Customer focus, Problem solving",1
142,18,Male,Lindi,Secondary,Agriculture,0,0,Low,Intermediate,Part-time,Education,Remote,"Microsoft Office, Sales","Creativity, Critical thinking, Customer focus",2
143,23,Male,Pwani,Diploma,Logistics,2,2,High,Advanced,Informal work,Education,Field,"Network support, English communication, Programming (Python), Customer service","Critical thinking, Problem solving, Adaptability",1
144,27,Male,Zanzibar Urban/West,Bachelor,Education,1,5,Medium,Advanced,Part-time,Transport,Field,"Digital marketing, Data analysis, Teaching support","Time management, Adaptability",0
145,19,Male,Manyara,Secondary,Education,1,1,Medium,Basic,Full-time,ICT,Field,"Digital marketing, English communication, Teaching support","Teamwork, Leadership",1
146,23,Female,Pwani,Diploma,Business,1,6,High,Basic,Part-time,Healthcare,Remote,"Mechanical maintenance, Sales, Data analysis","Communication, Teamwork",1
147,24,Female,Dar es Salaam,Higher Diploma,Health,2,2,Low,Basic,Informal work,Trade,Customer-facing,"Project management, Inventory management, Digital marketing","Customer focus, Problem solving, Resilience",1
148,19,Male,Kagera,Bachelor,Logistics,0,0,High,Intermediate,Informal work,Manufacturing,Field,"Inventory management, Data analysis, Programming (Python), Food preparation","Communication, Resilience",1
149,18,Female,Dodoma,Diploma,Health,0,1,Medium,Intermediate,Internship,Construction,Remote,"Database management, Sales, Inventory management, Programming (Python)","Adaptability, Leadership",3
150,21,Female,Arusha,Bachelor,Arts,1,2,High,Intermediate,Unemployed,Construction,Customer-facing,"Teaching support, Customer service, Web development, Database management","Adaptability, Leadership, Customer focus",0
151,19,Male,Dar es Salaam,Diploma,Arts,0,0,High,Intermediate,Informal work,Construction,Remote,"Inventory management, Customer service","Resilience, Communication, Teamwork",2
152,22,Female,Pemba South,Bachelor,Education,3,4,Medium,Intermediate,Informal work,Manufacturing,Remote,"Microsoft Office, Network support, Digital marketing, Programming (Python)","Teamwork, Adaptability, Time management",1
153,22,Female,Katavi,Vocational/Technical,Arts,0,2,High,Basic,Internship,ICT,Remote,"Sales, Mechanical maintenance","Resilience, Creativity, Critical thinking",0
154,19,Male,Singida,Secondary,Finance,1,1,Low,Basic,Internship,Construction,Remote,"Accounting, Microsoft Office","Adaptability, Creativity",1
155,22,Female,Singida,Higher Diploma,Agriculture,3,3,Medium,Intermediate,Self-employed,Manufacturing,Field,"Data analysis, Programming (Python)","Teamwork, Adaptability",2
156,29,Female,Zanzibar South,No formal qualification,Education,0,4,High,Basic,Informal work,Healthcare,Field,"Accounting, Sales","Resilience, Communication",0
157,20,Female,Iringa,Secondary,Education,0,2,Low,Basic,Part-time,Agriculture,Remote,"Teaching support, Customer service, English communication, Quality control","Leadership, Resilience, Communication",0
158,23,Male,Arusha,Higher Diploma,Information Technology,4,6,High,Advanced,Full-time,Trade,Office,"Database management, Quality control, Logistics coordination, Food preparation","Customer focus, Leadership, Creativity",1
159,22,Male,Katavi,Diploma,Arts,0,2,Low,Intermediate,Unemployed,ICT,Field,"Sales, Customer service","Time management, Leadership",2
160,23,Female,Rukwa,No formal qualification,Finance,3,6,Medium,Advanced,Informal work,Agriculture,Field,"Accounting, Database management, Data analysis, Food preparation","Customer focus, Adaptability",2
161,23,Male,Katavi,Higher Diploma,Agriculture,1,4,High,Intermediate,Unemployed,ICT,Field,"Accounting, Mechanical maintenance","Communication, Customer focus, Teamwork",1
